,dictionary,id,label
474,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1860702795,MS-DOS
559,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1298546194,OV-105
632,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1833215841,3D
643,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II552440319,RSS
671,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II312334991,FAQs
1285,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1910378450,STS-125
1378,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II867806625D,NSI
1379,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II867806636A,NSD
1380,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II542639603,EBW
1644,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1427360213A,PIC
1647,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1431360225K,PEC
1661,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1738527343,GNC
1662,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1585362402,GN&C
1698,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN578259448,DARS
1901,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II443672222I,HD
1946,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1433360247H,PCS
1950,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1149326592,DDCU
1952,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II106086093,TDRS-E
1953,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN2039019268,DCDC
1964,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II553440178A,RPC
1968,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II941492506H,RPCM
2012,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697472,STS-006
2125,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1407539408,FTA
2127,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN609825943,UUT
2145,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697472B,STS-6
2146,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697458B,STS-8
2215,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II293515365,SLM-1
2301,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN258101453I,STS-35
2302,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN258101456D,STS-36
2303,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN258101455I,STS-37
2304,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN258101442H,STS-38
2305,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN258101441C,STS-39
2306,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101469H,STS-40
2307,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN470299119,OVEI
2310,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101466K,STS-45
2311,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101468J,STS-47
2312,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN251101461F,STS-48
2313,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101467J,STS-51
2314,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931025H,STS-51A
2315,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931028I,STS-51B
2316,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931027G,STS-51C
2317,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931030B,STS-51D
2318,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931032A,STS-51F
2319,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931031G,STS-51G
2320,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931033D,STS-51I
2322,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN529931036H,STS-51J
2329,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101466A,STS-52
2330,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101465K,STS-53
2332,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101472B,STS-54
2333,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN252101471A,STS-55
2334,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II941492482,RPCU
2353,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II956017495,ESP-1
2355,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II956017492,ESP-2
2372,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN788226577,AS-204
2373,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN788226578,AS-205
2374,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1375913335,AS-503
2375,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1375913328,AS-504
2376,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1375913333,AS-501
2377,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1375913334,AS-502
2415,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101441D,STS-75
2427,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101443A,STS-77
2433,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101454F,STS-78
2439,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN254101453F,STS-79
2441,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101481G,STS-80
2444,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101482F,STS-81
2447,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101483E,STS-82
2448,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101484C,STS-83
2457,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101485K,STS-84
2467,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101486H,STS-85
2468,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101487C,STS-86
2469,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1414853667F,BA-1
2470,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN788786322B,BJ-1
